Technology,Column,Provider,Description,Link,Expiration
Gitlab Certification,No,Bryan Guner,Free Certifications paths and badges,Link,Unknown
Google Cloud,No,Bryan Guner,"One free month at Qwiklabs, Pluralsight & Coursera learning platforms. Pluralsight & Coursera require a credit card. Don’t forget to cancel in time.   (Qwiklabs seem still to work. Rest - expired)",Link,?31-May-2020?
Agile,No,Bryan Guner,Free access to Atlassian’s on-demand courses ($300 value each).,"Link (""Data Fundamentals"" tab)",30-Jun-2020
Programming,No,Bryan Guner,15 free programming & data science certificate courses by Packt ($20 value each).,Link,31-Jul-2020
Cloud Networking,No,Bryan Guner,"Aviatrix ,Free ACE - Multicloud Networking associate Course & Certificate code ACEMULTICLOUD",Link,Limited Time
Acronis,No,Bryan Guner,Get professional training and certifications for free in technical or sales tracks (MSP/SP/CSP/VAR/SI/OEM).,Link,18-Oct-2020
Alibaba Cloud,No,Bryan Guner,"Specialty Certification Bootcamp, a three-part event featuring three-hour videos summarizing the DevOps, Networking, and Data Analytics specialty certification program.",Link,23-Oct-2020
Alibaba Cloud,No,Bryan Guner,Get free ACA Certification exam voucher from Alibaba Cloud for attending this October webinar live.,Link / Link / Link,30-Oct-2020
InterSystems,No,Bryan Guner,Free InterSystems Certification exam attempts to all attendees of InterSystems Virtual Summit 2020.,Link,05-Nov-2020
IBM,No,Bryan Guner,"Earn digital badges from Data & AI Essentials courses, and professional certificate or specialization from Coursera.",Link,24-Nov-2020
Azure,No,Bryan Guner,"Complete any one or more challenges and update your skills on LinkedIn on or before October 31, 2021, and stand a chance to collect your Free Microsoft Certification Exam Voucher*",Link,Oct 31 2021
Azure,No,Bryan Guner,Free AZ-900 Microsoft Azure Fundamentals certification (worth $99) upon completion of the 2 day virtual training.,"Link (""Fundamentals"" tab)",Limited Time
Azure,No,Bryan Guner,Free DP-900 Microsoft Data Fundamentals certification (worth $99) upon completion of the 2 day virtual training.,"Link (""Data Fundamentals"" tab)",Limited Time
Azure,No,Bryan Guner,Free AI-900 Microsoft AI Fundamentals certification (worth $99) upon completion of the 1 day virtual training.,"Link (""AI Fundamentals"" tab)",Limited Time
Azure,No,Bryan Guner,Free PL-900 Microsoft Power Platform Fundamentals certification (worth $99) upon completion of the 1 day virtual training.,"Link (""Fundamentals"" tab)",Limited Time
IT,No,Bryan Guner,The CompTIA Mentored Learning Program is a free program for displaced workers offering online instructor-led workshops that cover a technical computer curriculum geared toward IT industry-recognized CompTIA certification.,Link,04-Dec-2020
HYCU,No,Bryan Guner,Free Certified Enterprise Cloud HYCU Admin certification for HYCU customers and partners. Free swags for those who complete before end of October 2020.,Link,31-Dec-2020
JumpCloud,No,Bryan Guner,Free JumpCloud Core Certification (worth $150).,Link,01-Jan-2021
Kubernetes,No,Bryan Guner,Free “Certified Rancher Operator: Level 1” on-demand training & certification by Rancher.,Link,14-Jul-2021
Kami,No,Bryan Guner,Free online training courses to build your Kami skills and grow as a leader in your professional learning community,Link,31-Oct-2021
Azure,No,Bryan Guner,Free subscription at Pluralsight for Microsoft Azure courses,Link,01-Jan-2025
Google Cloud,No,Bryan Guner,Extra 30 days for Google Cloud labs on Qwiklabs.,Link,Unknown
Automated Testing,No,Bryan Guner,Free certification courses by the Test Automation University.,Link,Unknown
Security,No,Bryan Guner,Courses and certifications for free by Juniper Networks (instead of 150 euros).,Link,Unknown
Google Cloud,No,Bryan Guner,Claim 30 days free Qwiklabs and access to the featured labs.,Link,Unknown
Huawei Networking,No,Bryan Guner,"Free courses & exams from Huawei Academy for the HCIA, HCIP, and HCIE certifications.",Link,Unknown
Huawei Networking,No,Bryan Guner,"Free course & certification (HCIA level, $200 value).",Link,Unknown
Programming,No,Bryan Guner,"Free courses by JetBrains Academy for learning Java, Kotlin & Python.",Link,Unknown
Cloud Monitoring,No,Bryan Guner,Free access to 11 Elastic Stack courses ($200 value each).,Link,Unknown
Diverse,No,Bryan Guner,One free month access to nanodegree programs by Udacity ($400 value). Credit card / PayPal required. Don’t forget to cancel in time.,Link,Unknown
Alibaba Cloud,No,Bryan Guner,“Architecting on Alibaba Cloud Specialization” at Coursera.,Link,Unknown
DevOps,No,Bryan Guner,The Linux Foundation offers 23 free courses with finalizing exams & confirmations.,Link,Unknown
DevOps,No,Bryan Guner,"Free training through CloudBees University (Jenkins, DevOps).",Link,Unknown
Data Analytics,No,Bryan Guner,6 free training courses and certifications by Sumo Logic.,Link,Unlimited
Web Development,No,Bryan Guner,"6 Free Code Camp learning courses & certifications, incl. RWD, JavaScript, APIs, React…",Link,Unlimited
Diverse,No,Bryan Guner,"~670 free courses at Udemy, incl. certificates.",Link,Unlimited
cPanel,No,Bryan Guner,Free cPanel Professional Certification (CPP) awarded simply by successfully completing the full series of video lessons. There is no final certification exam required for the CPP status.,Link,Unlimited
Analytics,No,Bryan Guner,Google Analytics Academy free courses with certificates,Link,Unlimited
SD-WAN,No,Bryan Guner,"Silver Peak , offers Free Training & Certification Exam for SD-WAN Profissional",Link,Unknown
Data Science,No,Bryan Guner,Data science courses with proof of completion and badge,Link,Unlimited
IT sector,No,Bryan Guner,gain or improve digital skills on our eLearning platform,Link,Unknown
SysTrack,No,Bryan Guner,"Free SysTrack certification and badge upon completion of self-paced courses through their online learning platform. They offer three courses: SysTrack Technician, SysTrack Engineer, and SysTrack Dashboard Designer.",Link,Unknown
Eggplant,No,Bryan Guner,Free Eggplant courses and certifications.,Link,Unknown
AWS,No,Bryan Guner,Free full-time AWS training with certification and launch a career in cloud computing with AWS re/Start for unemployed and underemployed individuals.,Link,Unknown
API,No,Bryan Guner,Free API Designer and API Security Architect certifications.,Link,Unknown
AI,No,Bryan Guner,"Microsoft AI Classroom Series. Microsoft has joined forces with NASSCOM FutureSkills® to deliver Microsoft’s AI, machine learning and data science expertise to students through easy-to-consume modules including demos, hands-on workshop and assignments.",Link,Unknown
Zerto,No,Bryan Guner,Free Zerto Associate Certification on Zerto University.,Link,Unknown
Calico,No,Bryan Guner,Certified Calico Operator: Level 1.,Link,Unknown
Stepik,No,Bryan Guner,"Several free courses with certificates are available for reference in design, computer science, mathematics, etc.",Link,Unknown
LoRaWAN,No,Bryan Guner,"The Things Fundamentals, The Things Advanced, The Things Security and The Things Network Management.",Link,Unknown
DevOps-Automation,No,Bryan Guner,FREE Chef Principles Certification Exam,Link,Unknown
Observability,No,Bryan Guner,FREE Full Stack Observability Exam,Link,Unknown
Chaos,No,Bryan Guner,FREE Gremlin Certified Chaos Engineering practitioner Certification,Link,Unknown
Neo4j,No,Bryan Guner,Become a Neo4j Certified Professional,Link,Unknown
Confluent,No,Bryan Guner,Fundamentals Accreditation,Link,Unknown
Confluence,No,Bryan Guner,Fundamentals Accreditation,Link,Unknown
Extreme Networks,No,Bryan Guner,Extreme Networks Associate: Free training with an Industry Certification from the Extreme Academy,Link,Unknown
Gatling,No,Bryan Guner,Become an ace on Gatling’s Load Testing tool!,Link,Unknown
Selenium,No,Bryan Guner,Selenium Advanced Certifications,Link,Unknown
DeepLearning AI,No,Bryan Guner,"Deep Learning Specialization. Master Deep Learning, and Break into AI",Link,Unknown