Name,Created,Tags,URL
Job Search Student Handbook,"October 26, 2021 2:55 PM",,https://www.notion.so/lambdaschool/Job-Search-Student-Handbook-340f68fa73f14905ba2d9a6c14758a10
Getting Started in the Job Search,"October 26, 2021 2:56 PM",,https://www.notion.so/Getting-Started-in-the-Job-Search-f8c08815c9f54418847e5722f55e2264
bryan_guner_resume_2021-v4.docx - Google Docs,"October 26, 2021 2:57 PM",,https://docs.google.com/document/d/1niC6BKdZUJh_ZntAB7IKctt46SDI4JMu/edit
flow-control-in-python | webdevhub,"October 26, 2021 2:57 PM",,https://bgoonz-blog.netlify.app/blog/flow-control-in-python/
Getting Started in the Job Search,"October 26, 2021 2:58 PM",,https://www.notion.so/Getting-Started-in-the-Job-Search-f8c08815c9f54418847e5722f55e2264
How to Find Jobs & Apply,"October 26, 2021 2:58 PM",,https://www.notion.so/How-to-Find-Jobs-Apply-221f63ef910b4bdebb0beb0adaaebc59
How to outreach,"October 26, 2021 2:58 PM",,https://www.notion.so/How-to-outreach-df7298331584437480890d3d99e3e8a7
How to Interview,"October 26, 2021 2:59 PM",,https://www.notion.so/How-to-Interview-738bce3c399d4bb8b39e9649966bc239
Code Challenges & Technical Interviews,"October 26, 2021 2:59 PM",,https://www.notion.so/Code-Challenges-Technical-Interviews-a55923c3b77a40fe866e948b0ec7aa85
Negotiating your Offer,"October 26, 2021 2:59 PM",,https://www.notion.so/Negotiating-your-Offer-44ef84c797ef486fb8097a3f7aa7702e
7 Effective Ways To Speed Up Your Site,"November 1, 2021 4:05 AM",,https://www.freecodecamp.org/news/seven-ways-to-optimize-your-site-for-speed/
"11 Best Freelance JavaScript Developers ","November 3, 2021 6:26 AM",,https://www.toptal.com/javascript#hiring-guide
30 Websites to Follow If You're into Web Development,"November 3, 2021 6:31 AM",,https://www.webfx.com/blog/web-design/websites_for_web_development/
37 Essential JavaScript Interview Questions and Answers | Toptal®,"November 3, 2021 6:33 AM",,https://www.toptal.com/javascript/interview-questions
JavaScript Best Practices and Tips from JavaScript Experts | Toptal®,"November 3, 2021 6:33 AM",,https://www.toptal.com/javascript/tips-and-practices