Title,Property," 1",Built-in Functions," 2"," 3"
,https://docs.python.org/3/library/functions.html#abs,https://docs.python.org/3/library/functions.html#delattr,https://docs.python.org/3/library/functions.html#hash,https://docs.python.org/3/library/functions.html#func-memoryview,https://docs.python.org/3/library/functions.html#func-set
,https://docs.python.org/3/library/functions.html#all,https://docs.python.org/3/library/functions.html#func-dict,https://docs.python.org/3/library/functions.html#help,https://docs.python.org/3/library/functions.html#min,https://docs.python.org/3/library/functions.html#setattr
,https://docs.python.org/3/library/functions.html#any,https://docs.python.org/3/library/functions.html#dir,https://docs.python.org/3/library/functions.html#hex,https://docs.python.org/3/library/functions.html#next,https://docs.python.org/3/library/functions.html#slice
,https://docs.python.org/3/library/functions.html#ascii,https://docs.python.org/3/library/functions.html#divmod,https://docs.python.org/3/library/functions.html#id,https://docs.python.org/3/library/functions.html#object,https://docs.python.org/3/library/functions.html#sorted
,https://docs.python.org/3/library/functions.html#bin,https://docs.python.org/3/library/functions.html#enumerate,https://docs.python.org/3/library/functions.html#input,https://docs.python.org/3/library/functions.html#oct,https://docs.python.org/3/library/functions.html#staticmethod
,https://docs.python.org/3/library/functions.html#bool,https://docs.python.org/3/library/functions.html#eval,https://docs.python.org/3/library/functions.html#int,https://docs.python.org/3/library/functions.html#open,https://docs.python.org/3/library/functions.html#func-str
,https://docs.python.org/3/library/functions.html#breakpoint,https://docs.python.org/3/library/functions.html#exec,https://docs.python.org/3/library/functions.html#isinstance,https://docs.python.org/3/library/functions.html#ord,https://docs.python.org/3/library/functions.html#sum
,https://docs.python.org/3/library/functions.html#func-bytearray,https://docs.python.org/3/library/functions.html#filter,https://docs.python.org/3/library/functions.html#issubclass,https://docs.python.org/3/library/functions.html#pow,https://docs.python.org/3/library/functions.html#super
,https://docs.python.org/3/library/functions.html#func-bytes,https://docs.python.org/3/library/functions.html#float,https://docs.python.org/3/library/functions.html#iter,https://docs.python.org/3/library/functions.html#print,https://docs.python.org/3/library/functions.html#func-tuple
,https://docs.python.org/3/library/functions.html#callable,https://docs.python.org/3/library/functions.html#format,https://docs.python.org/3/library/functions.html#len,https://docs.python.org/3/library/functions.html#property,https://docs.python.org/3/library/functions.html#type
,https://docs.python.org/3/library/functions.html#chr,https://docs.python.org/3/library/functions.html#func-frozenset,https://docs.python.org/3/library/functions.html#func-list,https://docs.python.org/3/library/functions.html#func-range,https://docs.python.org/3/library/functions.html#vars
,https://docs.python.org/3/library/functions.html#classmethod,https://docs.python.org/3/library/functions.html#getattr,https://docs.python.org/3/library/functions.html#locals,https://docs.python.org/3/library/functions.html#repr,https://docs.python.org/3/library/functions.html#zip
,https://docs.python.org/3/library/functions.html#compile,https://docs.python.org/3/library/functions.html#globals,https://docs.python.org/3/library/functions.html#map,https://docs.python.org/3/library/functions.html#reversed,https://docs.python.org/3/library/functions.html#__import__
,https://docs.python.org/3/library/functions.html#complex,https://docs.python.org/3/library/functions.html#hasattr,https://docs.python.org/3/library/functions.html#max,https://docs.python.org/3/library/functions.html#round,