Column,Name,Date Created,Links,Status 1
d1,D1 Notes,"August 4, 2021 12:15 AM",,
d2,Day 2 Notes,"August 3, 2021 6:24 PM",,
d3,Day3 Notes,"August 11, 2021 12:06 PM",,
d4,Day 4 Notes,"August 5, 2021 4:09 PM",,
d5,Day 5 Notes,"August 3, 2021 6:40 PM",,
,Extra Info,"August 11, 2021 12:42 AM",,
,Glossary,"August 4, 2021 12:13 AM",,
,BigO in Python,"August 4, 2021 1:25 PM",,
,New Task,"June 19, 2021 1:04 AM",,
,,"August 3, 2021 11:58 PM",,
,,"August 11, 2021 11:58 AM",,
,Sprint Prep,"August 11, 2021 11:58 AM",,